node1,node2,weight
4.0,1.0,1.0
1.0,6.0,0.9
1.0,15.0,0.1
4.0,3.0,0.85
4.0,17.0,0.1
13.0,4.0,0.9
4.0,13.0,0.9
1.0,13.0,0.1
7.0,13.0,0.1
4.0,6.0,0.1
2.0,4.0,0.1
4.0,19.0,0.8
13.0,1.0,0.9
2.0,13.0,0.1
13.0,10.0,0.9
13.0,6.0,0.1
13.0,16.0,0.9
13.0,2.0,0.1
1.0,4.0,1.0
19.0,4.0,0.1
6.0,4.0,0.1
7.0,4.0,0.1
4.0,7.0,0.85
4.0,2.0,0.8
17.0,3.0,0.1
1.0,3.0,0.8
2.0,3.0,0.9
2.0,7.0,0.1
2.0,21.0,0.1
2.0,6.0,0.1
13.0,7.0,0.1
1.0,17.0,0.95
17.0,4.0,0.1
17.0,1.0,0.95
2.0,1.0,0.9
7.0,2.0,0.1
1.0,2.0,0.9
2.0,23.0,0.1
6.0,2.0,0.1
10.0,2.0,0.85
5.0,7.0,0.1
7.0,21.0,0.1
17.0,7.0,0.1
1.0,21.0,0.8
9.0,1.0,1.0
5.0,1.0,0.1
1.0,9.0,0.1
1.0,20.0,0.1
1.0,5.0,0.1
7.0,3.0,0.8
19.0,7.0,0.95
7.0,5.0,0.1
10.0,3.0,0.85
21.0,3.0,0.85
23.0,1.0,0.85
1.0,8.0,0.85
19.0,1.0,0.95
6.0,5.0,0.1
5.0,6.0,0.1
1.0,19.0,0.8
8.0,1.0,0.1
6.0,1.0,0.9
2.0,20.0,0.1
21.0,2.0,0.1
6.0,7.0,0.1
1.0,7.0,0.95
7.0,20.0,0.1
21.0,1.0,0.9
1.0,23.0,0.8
10.0,1.0,0.9
21.0,8.0,0.95
21.0,7.0,0.1
7.0,1.0,0.85
7.0,19.0,0.1
7.0,17.0,0.8
10.0,6.0,0.85
7.0,6.0,0.1
6.0,10.0,0.1
1.0,10.0,0.85
10.0,8.0,0.1
